time,year,value,gender,age_group,time_unit
13,2022,798,all,,weekly
14,2015,1023,all,,weekly
14,2016,1098,all,,weekly
14,2017,1118,all,,weekly
14,2018,1080,all,,weekly
14,2019,1112,all,,weekly
14,2020,972,all,,weekly
14,2021,1547,all,,weekly
14,2022,547,all,,weekly
15,2015,1011,all,,weekly
15,2016,1054,all,,weekly
15,2017,1025,all,,weekly
15,2018,1103,all,,weekly
15,2019,1141,all,,weekly
15,2020,932,all,,weekly
15,2021,1773,all,,weekly
15,2022,116,all,,weekly
16,2015,1103,all,,weekly
16,2016,1017,all,,weekly
16,2017,1124,all,,weekly
16,2018,1088,all,,weekly
16,2019,1184,all,,weekly
16,2020,946,all,,weekly
16,2021,2291,all,,weekly
17,2015,1044,all,,weekly
17,2016,1162,all,,weekly
17,2017,1158,all,,weekly
17,2018,1155,all,,weekly
17,2019,1113,all,,weekly
17,2020,981,all,,weekly
17,2021,3391,all,,weekly
18,2015,1044,all,,weekly
18,2016,1065,all,,weekly
18,2017,1073,all,,weekly
18,2018,1132,all,,weekly
18,2019,1264,all,,weekly
18,2020,1015,all,,weekly
18,2021,4544,all,,weekly
19,2015,1114,all,,weekly
19,2016,1101,all,,weekly
19,2017,1143,all,,weekly
19,2018,1163,all,,weekly
19,2019,1326,all,,weekly
19,2020,1193,all,,weekly
19,2021,5298,all,,weekly
20,2015,1025,all,,weekly
20,2016,1116,all,,weekly
20,2017,1420,all,,weekly
20,2018,1154,all,,weekly
20,2019,1262,all,,weekly
20,2020,1293,all,,weekly
20,2021,5219,all,,weekly
