death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-06-25,5,,1,,5,7,2,9,10,7,8,8,15,25,22,15,13,14,4,,,,,
2015-06-26,,1,,,2,6,7,4,13,10,14,14,11,17,32,13,15,11,3,1,,,,
2015-06-27,7,,,2,5,3,3,6,9,5,10,8,14,16,19,20,13,9,7,3,2,,,
2015-06-28,6,1,,1,3,5,1,5,7,8,10,14,17,11,14,10,6,11,7,2,,,,
2015-06-29,5,,,2,,3,5,10,9,8,6,16,22,11,13,12,9,8,4,2,,,,
2015-06-30,4,,,2,4,5,9,6,5,13,15,12,15,7,12,14,14,14,5,1,,,,
2015-07-01,4,,,1,4,2,4,4,2,19,17,25,12,9,11,15,15,8,9,,1,,,
2015-07-02,4,1,,2,1,2,5,7,10,8,6,11,13,14,11,10,5,10,7,1,,,,
2015-07-03,3,,1,1,6,7,5,5,6,6,9,15,16,12,14,12,13,11,4,2,,,,
2015-07-04,3,,,4,5,4,4,10,4,17,15,10,14,22,14,14,12,10,11,3,,,,
2015-07-05,1,1,1,1,5,5,7,8,5,9,10,22,14,13,12,11,23,7,7,2,,,,
2015-07-06,7,2,,,2,7,5,6,4,9,10,13,17,13,14,14,14,9,4,6,1,1,,
2015-07-07,5,1,1,3,7,7,7,12,4,6,7,18,15,12,15,15,15,13,5,5,,,,
2015-07-08,5,,1,2,2,4,7,6,10,10,10,16,14,18,11,16,15,15,3,3,1,,,
2015-07-09,6,,,1,2,4,4,5,9,8,10,11,19,19,9,10,20,4,8,1,1,,,
2015-07-10,3,2,1,,3,6,8,5,5,11,13,15,11,18,15,14,16,15,8,1,,,,
2015-07-11,7,,,3,5,4,7,6,8,11,6,12,18,7,17,7,11,11,1,1,1,,,
2015-07-12,5,,1,1,6,8,3,7,7,14,9,6,8,21,13,11,12,11,4,,,,,
2015-07-13,3,,,1,3,6,5,8,4,9,12,13,10,14,14,18,13,7,5,2,1,,,
2015-07-14,4,,1,2,4,6,1,6,9,3,14,13,15,20,12,13,10,7,4,2,1,,,
2015-07-15,2,,1,1,4,,2,8,8,6,15,15,7,10,12,8,16,10,2,,,,,
2015-07-16,3,,2,2,1,2,3,3,13,12,11,12,15,18,14,15,6,11,4,1,,1,,
2015-07-17,,1,,1,1,6,7,3,4,11,12,17,13,18,13,11,13,7,2,3,1,,,
2015-07-18,5,,,2,2,5,7,4,5,7,4,14,13,8,10,10,7,10,3,1,,,,
2015-07-19,2,,,2,2,3,2,10,2,9,8,11,11,12,6,4,6,7,4,2,,,,
2015-07-20,6,1,,2,5,2,7,6,5,9,10,12,14,17,15,8,7,11,6,,,,,
2015-07-21,7,1,,3,2,6,1,6,9,10,10,9,11,10,6,8,10,10,5,,1,,,
2015-07-22,,1,,3,5,5,4,7,5,6,5,19,9,16,11,13,11,6,2,4,,,,
2015-07-23,7,1,1,,3,5,6,7,5,7,15,11,10,8,14,10,11,9,,,,,,
2015-07-24,4,,1,2,2,5,3,5,9,12,7,4,14,15,19,13,11,6,3,1,,,,
2015-07-25,3,1,1,,3,3,2,4,7,6,9,8,16,15,11,17,9,10,5,,,,,
2015-07-26,4,,,3,5,2,2,7,4,5,7,8,16,10,15,12,18,8,3,2,,,1,
2015-07-27,2,1,1,4,2,2,6,2,7,14,19,11,17,16,16,19,12,11,6,2,,,,
2015-07-28,5,,2,2,6,4,7,9,9,15,11,14,15,5,22,12,11,8,2,1,1,,,
2015-07-29,4,1,2,1,5,5,4,6,8,12,12,23,11,13,14,9,13,11,5,,,,,
2015-07-30,11,,,2,1,7,1,2,5,7,15,12,17,16,17,10,14,10,5,,1,,,
2015-07-31,5,,,1,3,2,5,7,6,15,12,7,12,11,13,8,7,8,3,1,,,,
2015-08-01,3,,2,1,1,2,7,9,8,13,9,16,14,19,15,14,12,7,4,,,,,
2015-08-02,5,,,1,2,8,2,9,8,8,8,9,8,15,17,12,11,7,5,1,,,,
2015-08-03,7,,,2,3,1,7,1,5,11,15,9,15,7,19,8,12,12,6,2,,,,
2015-08-04,3,1,,2,2,5,4,9,8,8,10,12,7,15,8,14,7,5,3,1,,,,
2015-08-05,4,1,2,2,1,5,2,6,11,11,14,9,6,11,13,16,14,6,3,,,,,
2015-08-06,7,,,6,5,1,7,4,3,7,12,22,12,15,9,9,15,5,4,,,1,,
2015-08-07,1,,,4,5,3,6,11,9,13,12,12,16,13,6,7,13,4,7,1,1,,,
2015-08-08,4,2,2,,2,5,5,5,5,10,8,11,19,16,16,15,16,5,6,3,,,,
2015-08-09,2,,,3,1,3,2,5,10,13,7,14,11,12,13,11,11,7,5,2,,,,
2015-08-10,2,,2,3,4,5,5,8,7,12,8,16,13,12,18,13,13,9,3,1,,,,
2015-08-11,8,,2,1,4,7,7,8,7,6,8,13,18,14,16,16,13,6,1,,1,1,,
2015-08-12,9,,1,,3,2,10,4,13,6,7,13,9,22,11,12,10,9,5,1,,,,
2015-08-13,4,,3,3,3,5,5,4,6,12,9,15,12,19,14,11,13,4,5,1,1,,,
2015-08-14,5,,,1,6,4,2,5,9,11,10,5,11,12,13,15,6,12,1,2,,1,,
2015-08-15,5,1,1,2,1,5,6,5,5,9,10,20,9,13,11,11,20,12,3,1,,,,
2015-08-16,3,,1,3,4,1,4,3,4,5,8,10,12,17,11,17,16,11,3,2,,,,
2015-08-17,4,,2,2,5,5,5,5,9,15,8,8,23,21,18,10,12,6,4,2,,,,
2015-08-18,5,,,3,1,3,8,5,9,10,4,7,11,16,16,10,10,7,8,2,,,,
2015-08-19,3,,1,,2,3,4,1,15,10,13,12,15,16,21,7,12,5,5,,,,,
2015-08-20,7,2,1,2,1,8,5,3,9,8,11,8,6,17,9,8,20,13,3,2,,,,
2015-08-21,7,,,5,6,6,4,6,5,9,10,13,14,17,4,8,8,9,2,3,1,,,
2015-08-22,2,,2,1,4,2,8,4,7,11,5,12,11,6,11,15,8,6,7,,,,,
2015-08-23,4,,1,1,5,2,3,4,4,12,11,16,6,14,13,13,14,13,,1,1,,,
