ZONE,DIV,YEAR,MONTH,DAY,DATE
1,009,2015,10,2,02-10-2015
1,009,2015,10,6,06-10-2015
1,009,2015,10,8,08-10-2015
1,009,2015,10,9,09-10-2015
1,009,2015,10,29,29-10-2015
1,009,2015,11,2,02-11-2015
1,009,2015,11,8,08-11-2015
1,009,2015,11,17,17-11-2015
1,009,2015,11,26,26-11-2015
1,009,2015,12,3,03-12-2015
1,009,2015,12,3,03-12-2015
1,009,2015,12,7,07-12-2015
1,009,2015,12,9,09-12-2015
1,009,2015,12,12,12-12-2015
1,009,2015,12,20,20-12-2015
1,009,2015,12,25,25-12-2015
1,010,2015,1,1,01-01-2015
1,010,2015,1,10,10-01-2015
1,010,2015,1,23,23-01-2015
1,010,2015,2,1,01-02-2015
1,010,2015,2,11,11-02-2015
1,010,2015,2,12,12-02-2015
1,010,2015,2,13,13-02-2015
1,010,2015,2,13,13-02-2015
1,010,2015,2,14,14-02-2015
1,010,2015,2,24,24-02-2015
1,010,2015,3,3,03-03-2015
1,010,2015,3,30,30-03-2015
1,010,2015,4,5,05-04-2015
1,010,2015,4,6,06-04-2015
1,010,2015,4,7,07-04-2015
1,010,2015,4,8,08-04-2015
1,010,2015,4,16,16-04-2015
1,010,2015,4,26,26-04-2015
1,010,2015,5,8,08-05-2015
1,010,2015,5,16,16-05-2015
1,010,2015,5,18,18-05-2015
1,010,2015,5,22,22-05-2015
1,010,2015,5,24,24-05-2015
1,010,2015,6,10,10-06-2015
1,010,2015,6,20,20-06-2015
1,010,2015,6,25,25-06-2015
1,010,2015,6,29,29-06-2015
1,010,2015,7,9,09-07-2015
1,010,2015,7,10,10-07-2015
1,010,2015,7,14,14-07-2015
1,010,2015,7,17,17-07-2015
1,010,2015,7,20,20-07-2015
1,010,2015,7,31,31-07-2015
1,010,2015,8,1,01-08-2015
1,010,2015,8,8,08-08-2015
1,010,2015,8,11,11-08-2015
1,010,2015,8,26,26-08-2015
1,010,2015,9,12,12-09-2015
1,010,2015,9,22,22-09-2015
1,010,2015,9,28,28-09-2015
1,010,2015,9,30,30-09-2015
1,010,2015,10,4,04-10-2015
1,010,2015,10,5,05-10-2015
1,010,2015,10,13,13-10-2015
1,010,2015,10,16,16-10-2015
1,010,2015,10,24,24-10-2015
1,010,2015,10,25,25-10-2015
1,010,2015,11,3,03-11-2015
1,010,2015,11,6,06-11-2015
1,010,2015,11,7,07-11-2015
1,010,2015,11,12,12-11-2015
1,010,2015,11,17,17-11-2015
1,010,2015,11,21,21-11-2015
1,010,2015,11,25,25-11-2015
1,010,2015,11,26,26-11-2015
1,010,2015,12,14,14-12-2015
1,010,2015,12,15,15-12-2015
1,010,2015,12,16,16-12-2015
1,010,2015,12,22,22-12-2015
1,010,2015,12,24,24-12-2015
1,010,2015,12,25,25-12-2015
1,010,2015,12,25,25-12-2015
1,010,2015,12,26,26-12-2015
1,010,2015,12,29,29-12-2015
1,010,2015,12,30,30-12-2015
1,010,2015,12,30,30-12-2015
1,010,2015,12,31,31-12-2015
1,011,2015,1,2,02-01-2015
1,011,2015,1,5,05-01-2015
1,011,2015,1,12,12-01-2015
1,011,2015,1,15,15-01-2015
1,011,2015,1,17,17-01-2015
1,011,2015,1,22,22-01-2015
1,011,2015,2,17,17-02-2015
1,011,2015,2,21,21-02-2015
1,011,2015,2,23,23-02-2015
1,011,2015,2,27,27-02-2015
1,011,2015,3,3,03-03-2015
1,011,2015,3,7,07-03-2015
1,011,2015,3,13,13-03-2015
1,011,2015,3,15,15-03-2015
1,011,2015,3,28,28-03-2015
1,011,2015,4,7,07-04-2015
1,011,2015,4,25,25-04-2015
1,011,2015,4,28,28-04-2015
1,011,2015,5,1,01-05-2015
1,011,2015,5,4,04-05-2015
1,011,2015,5,6,06-05-2015
1,011,2015,5,7,07-05-2015
1,011,2015,5,12,12-05-2015
1,011,2015,6,7,07-06-2015
1,011,2015,6,14,14-06-2015
1,011,2015,6,14,14-06-2015
1,011,2015,6,14,14-06-2015
1,011,2015,6,15,15-06-2015
1,011,2015,6,18,18-06-2015
1,011,2015,6,19,19-06-2015
1,011,2015,6,24,24-06-2015
1,011,2015,6,24,24-06-2015
1,011,2015,6,28,28-06-2015
1,011,2015,6,29,29-06-2015
1,011,2015,6,29,29-06-2015
1,011,2015,7,4,04-07-2015
1,011,2015,7,6,06-07-2015
1,011,2015,7,8,08-07-2015
1,011,2015,7,13,13-07-2015
1,011,2015,7,13,13-07-2015
1,011,2015,7,16,16-07-2015
1,011,2015,7,21,21-07-2015
1,011,2015,7,22,22-07-2015
1,011,2015,7,29,29-07-2015
1,011,2015,8,7,07-08-2015
1,011,2015,8,12,12-08-2015
1,011,2015,8,27,27-08-2015
1,011,2015,8,29,29-08-2015
1,011,2015,9,6,06-09-2015
1,011,2015,9,17,17-09-2015
1,011,2015,9,18,18-09-2015
1,011,2015,10,2,02-10-2015
1,011,2015,10,6,06-10-2015
1,011,2015,10,8,08-10-2015
1,011,2015,10,8,08-10-2015
1,011,2015,10,10,10-10-2015
1,011,2015,10,11,11-10-2015
1,011,2015,10,15,15-10-2015
1,011,2015,10,18,18-10-2015
1,011,2015,10,26,26-10-2015
1,011,2015,10,29,29-10-2015
1,011,2015,11,1,01-11-2015
1,011,2015,11,2,02-11-2015
1,011,2015,11,5,05-11-2015
1,011,2015,11,5,05-11-2015
1,011,2015,11,11,11-11-2015
1,011,2015,11,12,12-11-2015
1,011,2015,11,17,17-11-2015
1,011,2015,11,17,17-11-2015
1,011,2015,11,18,18-11-2015
1,011,2015,11,23,23-11-2015
1,011,2015,11,26,26-11-2015
1,011,2015,12,2,02-12-2015
1,011,2015,12,9,09-12-2015
1,011,2015,12,11,11-12-2015
1,011,2015,12,13,13-12-2015
1,011,2015,12,17,17-12-2015
1,011,2015,12,19,19-12-2015
1,011,2015,12,24,24-12-2015
1,011,2015,12,24,24-12-2015
