Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14-03-2015,161.3181101,124.6530888,189.134176,161.3181101,161.3181101,-4.974875738,-4.974875738,-4.974875738,-1.705808472,-1.705808472,-1.705808472,-3.269067266,-3.269067266,-3.269067266,0,0,0,156.3432343
15-03-2015,161.3340676,119.8686507,188.647638,161.3340676,161.3340676,-6.588487816,-6.588487816,-6.588487816,-2.565063118,-2.565063118,-2.565063118,-4.023424698,-4.023424698,-4.023424698,0,0,0,154.7455798
16-03-2015,161.3500252,127.2726659,192.4207843,161.3500252,161.3500252,-0.925719488,-0.925719488,-0.925719488,4.066748034,4.066748034,4.066748034,-4.992467522,-4.992467522,-4.992467522,0,0,0,160.4243057
17-03-2015,161.3659827,122.2577215,192.5179755,161.3659827,161.3659827,-4.92810413,-4.92810413,-4.92810413,1.219205056,1.219205056,1.219205056,-6.147309186,-6.147309186,-6.147309186,0,0,0,156.4378786
18-03-2015,161.3819403,120.0036422,189.9594796,161.3819403,161.3819403,-7.532147852,-7.532147852,-7.532147852,-0.093470163,-0.093470163,-0.093470163,-7.438677689,-7.438677689,-7.438677689,0,0,0,153.8497924
19-03-2015,161.3978978,120.5031332,184.0156241,161.3978978,161.3978978,-9.171484805,-9.171484805,-9.171484805,-0.370210702,-0.370210702,-0.370210702,-8.801274103,-8.801274103,-8.801274103,0,0,0,152.226413
20-03-2015,161.4138554,116.7573796,184.5330435,161.4138554,161.4138554,-10.71142354,-10.71142354,-10.71142354,-0.551400635,-0.551400635,-0.551400635,-10.1600229,-10.1600229,-10.1600229,0,0,0,150.7024319
21-03-2015,161.429813,116.10741,181.1098562,161.429813,161.429813,-13.14338453,-13.14338453,-13.14338453,-1.705808472,-1.705808472,-1.705808472,-11.43757606,-11.43757606,-11.43757606,0,0,0,148.2864284
22-03-2015,161.4457705,113.595646,180.6538777,161.4457705,161.4457705,-15.12733456,-15.12733456,-15.12733456,-2.565063118,-2.565063118,-2.565063118,-12.56227145,-12.56227145,-12.56227145,0,0,0,146.3184359
23-03-2015,161.4617281,119.8383586,185.6565992,161.4617281,161.4617281,-9.40892411,-9.40892411,-9.40892411,4.066748034,4.066748034,4.066748034,-13.47567214,-13.47567214,-13.47567214,0,0,0,152.0528039
24-03-2015,161.4776856,114.2006539,182.2976056,161.4776856,161.4776856,-12.91963199,-12.91963199,-12.91963199,1.219205056,1.219205056,1.219205056,-14.13883705,-14.13883705,-14.13883705,0,0,0,148.5580536
25-03-2015,161.4936432,111.4983908,181.5784322,161.4936432,161.4936432,-14.63006529,-14.63006529,-14.63006529,-0.093470163,-0.093470163,-0.093470163,-14.53659513,-14.53659513,-14.53659513,0,0,0,146.8635779
26-03-2015,161.5096007,113.0492057,178.1082842,161.5096007,161.5096007,-15.04951404,-15.04951404,-15.04951404,-0.370210702,-0.370210702,-0.370210702,-14.67930334,-14.67930334,-14.67930334,0,0,0,146.4600867
27-03-2015,161.5255583,114.6870032,182.2375022,161.5255583,161.5255583,-15.15324087,-15.15324087,-15.15324087,-0.551400635,-0.551400635,-0.551400635,-14.60184023,-14.60184023,-14.60184023,0,0,0,146.3723174
28-03-2015,161.5415158,112.0078433,179.4471568,161.5415158,161.5415158,-16.06570184,-16.06570184,-16.06570184,-1.705808472,-1.705808472,-1.705808472,-14.35989337,-14.35989337,-14.35989337,0,0,0,145.475814
29-03-2015,161.5574734,113.1224495,179.8501725,161.5574734,161.5574734,-16.58896812,-16.58896812,-16.58896812,-2.565063118,-2.565063118,-2.565063118,-14.023905,-14.023905,-14.023905,0,0,0,144.9685053
30-03-2015,161.5734309,119.3756517,185.6974632,161.5734309,161.5734309,-9.604563273,-9.604563273,-9.604563273,4.066748034,4.066748034,4.066748034,-13.67131131,-13.67131131,-13.67131131,0,0,0,151.9688677
31-03-2015,161.5893885,116.0687552,182.3501009,161.5893885,161.5893885,-12.15870958,-12.15870958,-12.15870958,1.219205056,1.219205056,1.219205056,-13.37791463,-13.37791463,-13.37791463,0,0,0,149.4306789
01-04-2015,161.605346,114.1801269,182.2542779,161.605346,161.605346,-13.30281105,-13.30281105,-13.30281105,-0.093470163,-0.093470163,-0.093470163,-13.20934089,-13.20934089,-13.20934089,0,0,0,148.302535
02-04-2015,161.6213036,111.9483717,181.6694828,161.6213036,161.6213036,-13.58375143,-13.58375143,-13.58375143,-0.370210702,-0.370210702,-0.370210702,-13.21354072,-13.21354072,-13.21354072,0,0,0,148.0375522
03-04-2015,161.6372611,112.1849693,179.7505148,161.6372611,161.6372611,-13.96659178,-13.96659178,-13.96659178,-0.551400635,-0.551400635,-0.551400635,-13.41519114,-13.41519114,-13.41519114,0,0,0,147.6706694
04-04-2015,161.6532187,115.5326131,181.4079596,161.6532187,161.6532187,-15.51846161,-15.51846161,-15.51846161,-1.705808472,-1.705808472,-1.705808472,-13.81265314,-13.81265314,-13.81265314,0,0,0,146.1347571
05-04-2015,161.6691762,110.7069864,177.6417769,161.6691762,161.6691762,-16.94292555,-16.94292555,-16.94292555,-2.565063118,-2.565063118,-2.565063118,-14.37786244,-14.37786244,-14.37786244,0,0,0,144.7262507
06-04-2015,161.6851338,118.6787672,185.917225,161.6851338,161.6851338,-10.99245663,-10.99245663,-10.99245663,4.066748034,4.066748034,4.066748034,-15.05920466,-15.05920466,-15.05920466,0,0,0,150.6926772
07-04-2015,161.7010914,111.7558381,181.3706309,161.7010914,161.7010914,-14.56788508,-14.56788508,-14.56788508,1.219205056,1.219205056,1.219205056,-15.78709014,-15.78709014,-15.78709014,0,0,0,147.1332063
08-04-2015,161.7170489,112.1769951,177.0055249,161.7170489,161.7170489,-16.57510459,-16.57510459,-16.57510459,-0.093470163,-0.093470163,-0.093470163,-16.48163443,-16.48163443,-16.48163443,0,0,0,145.1419443
09-04-2015,161.7330065,112.1835362,179.4085366,161.7330065,161.7330065,-17.43181597,-17.43181597,-17.43181597,-0.370210702,-0.370210702,-0.370210702,-17.06160527,-17.06160527,-17.06160527,0,0,0,144.3011905
10-04-2015,161.748964,109.3710181,177.9379342,161.748964,161.748964,-18.00504327,-18.00504327,-18.00504327,-0.551400635,-0.551400635,-0.551400635,-17.45364264,-17.45364264,-17.45364264,0,0,0,143.7439207
11-04-2015,161.7649216,108.8263513,174.0529673,161.7649216,161.7649216,-19.30652424,-19.30652424,-19.30652424,-1.705808472,-1.705808472,-1.705808472,-17.60071577,-17.60071577,-17.60071577,0,0,0,142.4583973
12-04-2015,161.7808791,108.2198189,173.359044,161.7808791,161.7808791,-20.03391808,-20.03391808,-20.03391808,-2.565063118,-2.565063118,-2.565063118,-17.46885496,-17.46885496,-17.46885496,0,0,0,141.746961
13-04-2015,161.7968367,116.4060903,181.2933994,161.7968367,161.7968367,-12.98463227,-12.98463227,-12.98463227,4.066748034,4.066748034,4.066748034,-17.0513803,-17.0513803,-17.0513803,0,0,0,148.8122044
14-04-2015,161.8127942,110.3930616,180.7063192,161.8127942,161.8127942,-15.1509191,-15.1509191,-15.1509191,1.219205056,1.219205056,1.219205056,-16.37012416,-16.37012416,-16.37012416,0,0,0,146.6618751
15-04-2015,161.8287518,111.675468,179.1627529,161.8287518,161.8287518,-15.56694915,-15.56694915,-15.56694915,-0.093470163,-0.093470163,-0.093470163,-15.47347899,-15.47347899,-15.47347899,0,0,0,146.2618026
16-04-2015,161.8447093,114.5951454,180.6398674,161.8447093,161.8447093,-14.80167072,-14.80167072,-14.80167072,-0.370210702,-0.370210702,-0.370210702,-14.43146002,-14.43146002,-14.43146002,0,0,0,147.0430386
17-04-2015,161.8606669,114.3274518,181.3262739,161.8606669,161.8606669,-13.87971241,-13.87971241,-13.87971241,-0.551400635,-0.551400635,-0.551400635,-13.32831178,-13.32831178,-13.32831178,0,0,0,147.9809545
18-04-2015,161.8766244,116.2140667,181.2153645,161.8766244,161.8766244,-13.95927915,-13.95927915,-13.95927915,-1.705808472,-1.705808472,-1.705808472,-12.25347068,-12.25347068,-12.25347068,0,0,0,147.9173453
19-04-2015,161.892582,115.1240246,179.4902288,161.892582,161.892582,-13.85695201,-13.85695201,-13.85695201,-2.565063118,-2.565063118,-2.565063118,-11.29188889,-11.29188889,-11.29188889,0,0,0,148.03563
20-04-2015,161.9085395,123.7688967,189.2538206,161.9085395,161.9085395,-6.448057104,-6.448057104,-6.448057104,4.066748034,4.066748034,4.066748034,-10.51480514,-10.51480514,-10.51480514,0,0,0,155.4604824
21-04-2015,161.9244971,118.1605155,186.8580643,161.9244971,161.9244971,-8.75280029,-8.75280029,-8.75280029,1.219205056,1.219205056,1.219205056,-9.972005346,-9.972005346,-9.972005346,0,0,0,153.1716968
22-04-2015,161.9404546,115.6323269,184.625602,161.9404546,161.9404546,-9.779923843,-9.779923843,-9.779923843,-0.093470163,-0.093470163,-0.093470163,-9.68645368,-9.68645368,-9.68645368,0,0,0,152.1605308
23-04-2015,161.9564122,118.6560844,183.5214175,161.9564122,161.9564122,-10.02212096,-10.02212096,-10.02212096,-0.370210702,-0.370210702,-0.370210702,-9.651910263,-9.651910263,-9.651910263,0,0,0,151.9342912
24-04-2015,161.9723698,119.6313532,185.2964141,161.9723698,161.9723698,-10.38521529,-10.38521529,-10.38521529,-0.551400635,-0.551400635,-0.551400635,-9.833814656,-9.833814656,-9.833814656,0,0,0,151.5871545
25-04-2015,161.9883273,116.5000991,183.5574523,161.9883273,161.9883273,-11.87915076,-11.87915076,-11.87915076,-1.705808472,-1.705808472,-1.705808472,-10.17334229,-10.17334229,-10.17334229,0,0,0,150.1091765
26-04-2015,162.0042849,112.6171642,181.9829698,162.0042849,162.0042849,-13.15923989,-13.15923989,-13.15923989,-2.565063118,-2.565063118,-2.565063118,-10.59417677,-10.59417677,-10.59417677,0,0,0,148.845045
27-04-2015,162.0202424,123.2786658,189.37795,162.0202424,162.0202424,-6.944478256,-6.944478256,-6.944478256,4.066748034,4.066748034,4.066748034,-11.01122629,-11.01122629,-11.01122629,0,0,0,155.0757642
28-04-2015,162.0362,119.0625946,183.828666,162.0362,162.0362,-10.12107906,-10.12107906,-10.12107906,1.219205056,1.219205056,1.219205056,-11.34028412,-11.34028412,-11.34028412,0,0,0,151.9151209
29-04-2015,162.0521575,115.7758871,185.26355,162.0521575,162.0521575,-11.60098867,-11.60098867,-11.60098867,-0.093470163,-0.093470163,-0.093470163,-11.50751851,-11.50751851,-11.50751851,0,0,0,150.4511688
30-04-2015,162.068115,115.342414,184.3699586,162.068115,162.068115,-11.82790129,-11.82790129,-11.82790129,-0.370210702,-0.370210702,-0.370210702,-11.45769059,-11.45769059,-11.45769059,0,0,0,150.2402137
01-05-2015,162.0840726,115.1540392,185.4013712,162.0840726,162.0840726,-11.71154077,-11.71154077,-11.71154077,-0.551400635,-0.551400635,-0.551400635,-11.16014014,-11.16014014,-11.16014014,0,0,0,150.3725318
02-05-2015,162.1000301,114.1718195,180.1107006,162.1000301,162.1000301,-12.31764168,-12.31764168,-12.31764168,-1.705808472,-1.705808472,-1.705808472,-10.61183321,-10.61183321,-10.61183321,0,0,0,149.7823884
03-05-2015,162.1159877,116.2392155,183.0959328,162.1159877,162.1159877,-12.40216786,-12.40216786,-12.40216786,-2.565063118,-2.565063118,-2.565063118,-9.837104738,-9.837104738,-9.837104738,0,0,0,149.7138198
04-05-2015,162.1319452,125.7918807,192.7264417,162.1319452,162.1319452,-4.817366632,-4.817366632,-4.817366632,4.066748034,4.066748034,4.066748034,-8.884114665,-8.884114665,-8.884114665,0,0,0,157.3145786
