Date,Male,Female,Total
20-12-2011,56,27,83
21-12-2011,39,21,60
22-12-2011,35,17,52
23-12-2011,42,16,58
24-12-2011,52,26,78
25-12-2011,40,22,62
26-12-2011,41,14,55
27-12-2011,45,30,75
28-12-2011,49,22,71
29-12-2011,34,22,56
30-12-2011,28,23,51
31-12-2011,40,21,61
01-01-2012,46,19,65
02-01-2012,28,21,49
03-01-2012,25,18,43
04-01-2012,36,17,53
05-01-2012,28,31,59
06-01-2012,37,22,59
07-01-2012,32,18,50
08-01-2012,33,14,47
09-01-2012,39,19,58
10-01-2012,45,21,66
11-01-2012,36,25,61
12-01-2012,24,25,49
13-01-2012,43,18,61
14-01-2012,37,14,51
15-01-2012,28,17,45
16-01-2012,35,23,58
17-01-2012,31,13,44
18-01-2012,29,13,42
19-01-2012,37,16,53
20-01-2012,35,22,57
21-01-2012,31,17,48
22-01-2012,46,19,65
23-01-2012,30,16,46
24-01-2012,38,26,64
25-01-2012,33,27,60
26-01-2012,41,24,65
27-01-2012,35,17,52
28-01-2012,19,18,37
29-01-2012,32,20,52
30-01-2012,38,22,60
31-01-2012,32,13,45
01-02-2012,38,22,60
02-02-2012,40,20,60
03-02-2012,27,20,47
04-02-2012,31,17,48
05-02-2012,32,18,50
06-02-2012,34,19,53
07-02-2012,20,28,48
08-02-2012,38,23,61
09-02-2012,33,16,49
10-02-2012,37,20,57
11-02-2012,28,18,46
12-02-2012,39,24,63
13-02-2012,42,25,67
14-02-2012,46,22,68
15-02-2012,20,16,36
16-02-2012,35,19,54
17-02-2012,38,15,53
18-02-2012,34,14,48
19-02-2012,31,22,53
20-02-2012,38,20,58
21-02-2012,38,27,65
22-02-2012,34,18,52
23-02-2012,29,21,50
24-02-2012,28,13,41
25-02-2012,24,22,46
26-02-2012,34,23,57
27-02-2012,35,15,50
28-02-2012,32,20,52
29-02-2012,32,12,44
01-03-2012,22,24,46
02-03-2012,31,28,59
03-03-2012,23,19,42
04-03-2012,34,21,55
05-03-2012,39,26,65
06-03-2012,35,14,49
07-03-2012,29,20,49
08-03-2012,31,14,45
09-03-2012,41,16,57
10-03-2012,30,21,51
11-03-2012,28,8,36
12-03-2012,25,19,44
13-03-2012,36,26,62
14-03-2012,29,20,49
15-03-2012,26,18,44
16-03-2012,24,17,41
